"Disaster Number","State","County","Program Area","Project Identifier","Application ID","Primary Hazard","Type","Project Title","Project Counties","Status","Subgrantee","Cost Share Percentage","Federal Share Proposed","Project Amount","Federal Share Obligated","Non Federal Share","Date Initially Approved","Date Awarded","Date Approved","Date Closed","Subgrantee Tribal Indicator","Phased Project","Date Received","Date Submitted","Environmental Document Type"
"845","California","Statewide","HMGP","DR-0845-M004-M","","","700.1: Management Costs - Salaries","State Management Costs","STATEWIDE","Closed","Office of Emergency Services","0.50000246","101570","203139","101570","101569","","","1997/03/21 00:00:00","1997/03/21 00:00:00","","","1997/03/21 00:00:00","","N/A"
"845","California","Statewide","HMGP","DR-0845-0090-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","LOCAL EMERGENCY PIA TRAINING AND EBS/EDIS WORKSHOPS","STATEWIDE","Withdrawn","Office of Emergency","0","0","0","0","0","","","1992/04/09 00:00:00","1997/02/10 00:00:00","","","1992/03/10 00:00:00","","N/A"
"845","California","Statewide","HMGP","DR-0845-M002-M","","","700.1: Management Costs - Salaries","STATE MANAGEMENT COST","STATEWIDE","Closed","Office of Emergency Services","0.5","5309","10618","5309","5309","","","1991/12/31 00:00:00","1991/12/31 00:00:00","","","1991/12/31 00:00:00","","N/A"
"845","California","Statewide","HMGP","DR-0845-0087-R","","","205.6: Structural Retrofitting/Rehabilitating Public Structures - Seismic","UNIVERSITY HALL, SEISMIC SAFETY CORRECTIONS","STATEWIDE","Closed","University of California","0.36585366","3000000","8200000","3000000","5200000","","","1992/04/09 00:00:00","1995/07/10 00:00:00","","","1992/03/10 00:00:00","","CATEX"
"845","California","Alameda","HMGP","DR-0845-0014-R","","","602.1: Other Equipment Purchase and Installation","HAZMAT RELEASE PREVENTION/RESPONSE EQUIPMENT","ALAMEDA","Closed","Hayward","0.5","405788","811576","405788","405788","","","1991/12/31 00:00:00","1998/04/05 00:00:00","","","1991/01/01 00:00:00","","FONSI"
"845","California","Alameda","HMGP","DR-0845-0011-R","","","601.1: Generators","INSTALLATION OF EMERGENCY GENERATORS","ALAMEDA","Closed","Emeryville","0.30555556","8250","27000","8250","18750","","","1991/12/31 00:00:00","1995/04/17 00:00:00","","","1991/01/01 00:00:00","","FONSI"
"845","California","Alameda","HMGP","DR-0845-0017-R","","","205.4: Non Structural Retrofitting/Rehabilitating Public Structures - Seismic","SEISMIC BRACING OF EQUIPMENT","ALAMEDA","Withdrawn","Children's Hospital","0","0","0","0","0","","","1991/02/21 00:00:00","1994/05/03 00:00:00","","","1990/12/17 00:00:00","","CATEX"
"845","California","Alameda","HMGP","DR-0845-0110-R","","","401.1: Water and Sanitary Sewer System Protective Measures","REMOVAL OF UNDERGROUND STORAGE TANK","ALAMEDA","Withdrawn","Emeryville","","","","","","","","","1997/04/16 00:00:00","","","1995/02/18 00:00:00","","N/A"
"845","California","Alameda","HMGP","DR-0845-0023-R","","","601.1: Generators","INSTALLATION OF DIESEL GENERATOR FOR FIRE STATION #1","ALAMEDA","Closed","Castro Valley Fire Dept.","0.49998485","16497","32995","16497","16498","","","1991/02/21 00:00:00","1995/04/20 00:00:00","","","1990/12/17 00:00:00","","CATEX"
"845","California","Alameda","HMGP","DR-0845-0018-R","","","205.6: Structural Retrofitting/Rehabilitating Public Structures - Seismic","SEISMIC RETROFIT OF CEILING SYSTEMS, PIPES AND DUCTS","ALAMEDA","Withdrawn","Children's Hospital","0","0","0","0","0","","","1991/09/16 00:00:00","1994/05/09 00:00:00","","","1990/12/17 00:00:00","","CATEX"
"845","California","Alameda","HMGP","DR-0845-0062-R","","","205.5: Structural Retrofitting/Rehabilitating Private Structures - Seismic","JUBILEE WEST EARTHQUAKE RETROFITTING","ALAMEDA","Closed","Jubilee West Inc.","0.5","322934","645868","322934","322934","","","1992/07/09 00:00:00","1999/04/27 00:00:00","","","1992/06/24 00:00:00","","CATEX"
"845","California","Alameda","HMGP","DR-0845-0069-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","CITIZENS OF OAKLAND RESPOND TO EMERGENCIES (C.O.R.E.)","ALAMEDA","Closed","Oakland","0.5","170000","340000","170000","170000","","","1991/12/31 00:00:00","1995/06/19 00:00:00","","","1991/01/01 00:00:00","","CATEX"
"845","California","Alameda","HMGP","DR-0845-0073-R","","","201.3: Relocation of Public Structures - Riverine","RELOCATION OF EMERGENCY OPERATIONS CENTER","ALAMEDA","Not Approved / Denied","Berkeley","","","","","","","","","1991/06/11 00:00:00","","","1991/06/11 00:00:00","","N/A"
"845","California","Alameda","HMGP","DR-0845-0024-R","","","205.6: Structural Retrofitting/Rehabilitating Public Structures - Seismic","SEISMIC RETROFIT OF BUILDING FOUNDATION","ALAMEDA","Withdrawn","Spanish Speaking Unity","0","0","50000","0","50000","","","1992/02/21 00:00:00","1996/09/25 00:00:00","","","1990/12/17 00:00:00","","N/A"
"845","California","Alameda","HMGP","DR-0845-0089-R","","","800.1: Miscellaneous","OAKLAND FIRE DEPT MOBILE COMMAND CENTER","ALAMEDA","Not Approved / Denied","Oakland","","","","","","","","","1991/06/11 00:00:00","","","1991/06/11 00:00:00","","N/A"
"845","California","Contra Costa","HMGP","DR-0845-0043-R","","","205.6: Structural Retrofitting/Rehabilitating Public Structures - Seismic","HOSPITAL CENTRAL PLANT SEISMIC REINFORCEMENT","CONTRA COSTA","Closed","MT. DIABLO HOSPITAL ","0.5","199529","416266","199529","199529","","","1993/07/30 00:00:00","1996/03/15 00:00:00","","","1990/12/17 00:00:00","","CATEX"
"845","California","Monterey","HMGP","DR-0845-0098-R","","","104.1: Developing, Implementing and Enforcing Codes, Standards, Ordinances and Regulations","SALINAS URM BUILDING INSPECTIONS","MONTEREY","Withdrawn","SALINAS","","","","","","","","","1997/04/16 00:00:00","","","1995/02/18 00:00:00","","N/A"
"845","California","Monterey","HMGP","DR-0845-0026-R","","","601.1: Generators","EMERGENCY POWER GENERATOR","MONTEREY","Closed","SALINAS RURAL FIRE P","0.5","19073","38146","19073","19073","","","1991/12/31 00:00:00","1995/06/05 00:00:00","","","1991/01/01 00:00:00","","FONSI"
"845","California","Monterey","HMGP","DR-0845-0028-R","","","205.4: Non Structural Retrofitting/Rehabilitating Public Structures - Seismic","ASBESTOS REMOVAL IN COUNTY FACILITIES","MONTEREY","Not Approved / Denied","MONTEREY COUNTY","","","","","","","","","1991/03/26 00:00:00","","","1992/01/27 00:00:00","","N/A"
"845","California","Monterey","HMGP","DR-0845-0025-R","","","601.1: Generators","EMERGENCY POWER GENERATOR","MONTEREY","Closed","CARMEL HIGHLANDS FIRE","0.5","7943","15886","7943","7943","","","1991/12/31 00:00:00","1996/04/15 00:00:00","","","1991/01/01 00:00:00","","FONSI"
"845","California","San Benito","HMGP","DR-0845-0009-R","","","400.1: Utility Protective Measures (Electric, Gas, etc.)","INTRODUCTIONS OF HOSPITAL WIDE EMERGENCY ELECTRICAL POWER","SAN BENITO","Closed","SAN BENITO HOSPITAL ","0.49999886","219452","438905","219452","219453","","","1991/12/31 00:00:00","1995/03/06 00:00:00","","","1991/01/01 00:00:00","","FONSI"
"845","California","San Benito","HMGP","DR-0845-0085-R","","","201.3: Relocation of Public Structures - Riverine","RELOCATE AND REBUILD A NEW EOC FACILITY","SAN BENITO","Void","SAN BENITO COUNTY","","","","","","","","","1996/04/05 00:00:00","","","1991/04/30 00:00:00","","N/A"
"845","California","San Francisco","HMGP","DR-0845-0006-R","","","205.4: Non Structural Retrofitting/Rehabilitating Public Structures - Seismic","GENERATORS FOR FIRE DEPT.","SAN FRANCISCO","Closed","SAN FRANCISCO COUNTY","0.48946652","650548","1329096","650548","678548","","","1995/06/05 00:00:00","2003/12/15 00:00:00","","","1991/01/01 00:00:00","","FONSI"
"845","California","San Francisco","HMGP","DR-0845-0120-R","","","400.1: Utility Protective Measures (Electric, Gas, etc.)","SF GENERAL HOSPITAL HIGH PRESSURE STEAM AUXILIARY HEADER","SAN FRANCISCO","Withdrawn","SAN FRANCISCO COUNTY","0","0","0","0","0","","","1996/10/21 00:00:00","1999/09/23 00:00:00","","","1995/04/26 00:00:00","","CATEX"
"845","California","San Francisco","HMGP","DR-0845-0044-R","","","205.4: Non Structural Retrofitting/Rehabilitating Public Structures - Seismic","SOUTH OF MARKET RECOVERY DEVELOPMENT PLAN","SAN FRANCISCO","Closed","SAN FRANCISCO REDEVE","0.5","905359","1810718","905359","905359","","","1993/07/30 00:00:00","1999/08/18 00:00:00","","","1990/12/17 00:00:00","","CATEX"
"845","California","San Francisco","HMGP","DR-0845-0038-R","","","601.1: Generators","EMERGENCY POWER - DIESEL ELECTRIC GENERATOR","SAN FRANCISCO","Closed","DAVIES MEDICAL CENTER","0.5","883060","1766120","883060","883060","","","1994/05/03 00:00:00","1996/05/06 00:00:00","","","1991/01/01 00:00:00","","FONSI"
"845","California","San Francisco","HMGP","DR-0845-0113-R","","","205.6: Structural Retrofitting/Rehabilitating Public Structures - Seismic","MERCY HIGH SCHOOL SEISMIC RETROFIT","SAN FRANCISCO","Closed","MERCY HIGH SCHOOL/SA","0.49999957","578677","1157355","578677","578678","","","1998/01/23 00:00:00","1999/03/22 00:00:00","","","1995/02/18 00:00:00","","CATEX"
"845","California","San Francisco","HMGP","DR-0845-0130-R","","","205.4: Non Structural Retrofitting/Rehabilitating Public Structures - Seismic","SEISMIC RETROFIT OF FIRE STATION #19, CCSF","SAN FRANCISCO","Closed","SAN FRANCISCO PUBLIC WORK","0.5","778114","1839436","778114","778114","","","1996/11/25 00:00:00","2001/03/30 00:00:00","","","1996/09/24 00:00:00","","CATEX"
"845","California","San Francisco","HMGP","DR-0845-0119-R","","","601.1: Generators","EMERGENCY GENERATORS FOR PUBLIC HOUSING","SAN FRANCISCO","Withdrawn","HOUSING AUTHORITY OFS.F.","0","0","0","0","0","","","","1996/10/09 00:00:00","","","1995/05/01 00:00:00","","N/A"
